confirmed_id,country,date,confirmed_total
0,Slovenia,1/22/20,0
1,United States,1/22/20,1
2,Ethiopia,1/22/20,0
3,Iran (Islamic Republic of),1/22/20,0
4,Bolivia,1/22/20,0
5,Colombia,1/22/20,0
6,Republic of Moldova,1/22/20,0
7,Japan,1/22/20,2
8,Mongolia,1/22/20,0
9,Zambia,1/22/20,0
10,Taiwan,1/22/20,1
11,Jamaica,1/22/20,0
12,Cambodia,1/22/20,0
13,Argentina,1/22/20,0
14,Costa Rica,1/22/20,0
15,Malaysia,1/22/20,0
16,Senegal,1/22/20,0
17,Congo (Kinshasa),1/22/20,0
18,Belize,1/22/20,0
19,Andorra,1/22/20,0
20,Madagascar,1/22/20,0
21,Bahrain,1/22/20,0
22,Hungary,1/22/20,0
23,Haiti,1/22/20,0
24,Equatorial Guinea,1/22/20,0
25,Romania,1/22/20,0
26,Bosnia and Herzegovina,1/22/20,0
27,MauritiUnited States,1/22/20,0
28,Honduras,1/22/20,0
29,Saudi Arabia,1/22/20,0
30,Barbados,1/22/20,0
31,Sao Tome and Principe,1/22/20,0
32,Somalia,1/22/20,0
33,Sri Lanka,1/22/20,0
34,Saint Vincent and the Grenadines,1/22/20,0
35,Thailand,1/22/20,2
36,Dominican Republic,1/22/20,0
37,Bhutan,1/22/20,0
38,Serbia,1/22/20,0
39,AUnited Statestralia,1/22/20,0
40,Burma,1/22/20,0
41, Republic of,1/22/20,1
42,Mexico,1/22/20,0
43,Oman,1/22/20,0
44,Pakistan,1/22/20,0
45,Ireland,1/22/20,0
46,South Africa,1/22/20,0
47,Turkey,1/22/20,0
48,RUnited Statessia,1/22/20,0
49,Bahamas,1/22/20,0
50,Malawi,1/22/20,0
51,Netherlands,1/22/20,0
52,Lao People's Democratic Republic,1/22/20,0
53,Belgium,1/22/20,0
54,Uzbekistan,1/22/20,0
55,Panama,1/22/20,0
56,Burkina Faso,1/22/20,0
57,Morocco,1/22/20,0
58,Kosovo,1/22/20,0
59,Libyan Arab Jamahiriya,1/22/20,0
60,Guinea-Bissau,1/22/20,0
61,Philippines,1/22/20,0
62,Maldives,1/22/20,0
63,Brunei,1/22/20,0
64,The former Yugoslav Republic of Macedonia,1/22/20,0
65,Azerbaijan,1/22/20,0
66,West Bank and Gaza,1/22/20,0
67,Luxembourg,1/22/20,0
68,Sweden,1/22/20,0
69,Czech Republic,1/22/20,0
70,Venezuela,1/22/20,0
71,Djibouti,1/22/20,0
72,Montenegro,1/22/20,0
73,Papua New Guinea,1/22/20,0
74,Algeria,1/22/20,0
75,Albania,1/22/20,0
76,Nicaragua,1/22/20,0
77,Kenya,1/22/20,0
78,Botswana,1/22/20,0
79,Grenada,1/22/20,0
80,Bangladesh,1/22/20,0
81,Slovakia,1/22/20,0
82,Georgia,1/22/20,0
83,Central African Republic,1/22/20,0
84,New Zealand,1/22/20,0
85,Benin,1/22/20,0
86,Lesotho,1/22/20,0
87,Gambia,1/22/20,0
88,Guatemala,1/22/20,0
89,Kuwait,1/22/20,0
90,Uganda,1/22/20,0
91,Greece,1/22/20,0
92,Mozambique,1/22/20,0
93,Nigeria,1/22/20,0
94,Fiji,1/22/20,0
95,Mauritania,1/22/20,0
96,Italy,1/22/20,0
97,Diamond Princess,1/22/20,0
98,Eritrea,1/22/20,0
99,Kazakhstan,1/22/20,0
100,Eswatini,1/22/20,0
101,Germany,1/22/20,0
102,Monaco,1/22/20,0
103,Croatia,1/22/20,0
104,France,1/22/20,0
105,Chile,1/22/20,0
106,United Arab Emirates,1/22/20,0
107,Togo,1/22/20,0
