"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
203,"Monaco",0,6468000877,"164823.4258","39.2420"
202,"Liechtenstein",0,6193677543,"162444.3334","38.1280"
71,"Luxembourg",73693000000,58631324559,"117724.5846","625.9780"
193,"Bermuda",0,6127341000,"98386.9264","62.2780"
81,"Macau",62158000000,45311080521,"95725.6270","649.3350"
20,"Switzerland",740702000000,668851296244,"85584.5582","8654.6220"
32,"Ireland",405185000000,304819019837,"82058.0317","4937.7860"
31,"Norway",438623000000,371068933176,"80908.2275","5421.2410"
106,"Iceland",26821000000,20269659972,"78597.9493","341.2430"
53,"Qatar",204008000000,152451923077,"70810.2211","2881.0530"
1,"United States",22198120000000,18624475000000,"67063.2695","331002.6510"
36,"Singapore",391875000000,296946278392,"66983.2635","5850.3420"
39,"Denmark",364546000000,306899653410,"62937.3768","5792.2020"
195,"Cayman Islands",0,3844080626,"58490.0129","65.7220"
14,"Australia",1481460000000,1304463104965,"58096.7349","25499.8840"
23,"Sweden",576720000000,514475856961,"57105.1458","10099.2650"
17,"Netherlands",954931000000,777227541581,"55730.2675","17134.8720"
34,"Hong Kong",402034000000,320912235499,"53626.1196","7496.9810"
29,"Austria",481678000000,390799991147,"53481.7582","9006.3980"
44,"Finland",289243000000,238502900312,"52203.1433","5540.7200"
4,"Germany",4157120000000,3477796274497,"49617.1450","83783.9420"
173,"San Marino",1672000000,1590761265,"49276.4728","33.9310"
10,"Canada",1832490000000,1529760492201,"48552.8727","37742.1540"
24,"Belgium",553781000000,467955267357,"47782.4861","11589.6230"
33,"Israel",403961000000,317747579750,"46670.8297","8655.5350"
52,"New Zealand",224943000000,187517098554,"46647.0616","4822.2330"
30,"United Arab Emirates",449130000000,348743627620,"45410.6921","9890.4020"
7,"France",2876050000000,2465453975282,"44061.5183","65273.5110"
3,"Japan",5495420000000,4936211827875,"43450.1405","126476.4610"
6,"United Kingdom",2927080000000,2647898654635,"43117.5725","67886.0110"
201,"Greenland",0,2282927882,"40213.6319","56.7700"
122,"Malta","16338000000.0000",10998577038,"37002.0587","441.5430"
191,"Andorra",0,2858406626,"36994.8441","77.2650"
63,"Puerto Rico",104117000000,105034500000,"36393.6910","2860.8530"
130,"Bahamas",13710000000,11261800000,"34863.8504","393.2440"
8,"Italy","2090449999999.9998",1858913163928,"34574.7083","60461.8260"
11,"South Korea",1744360000000,1411245589977,"34023.5563","51269.1850"
58,"Kuwait",142999000000,110346129191,"33484.7495","4270.5710"
205,"New Caledonia",0,9445714851,"33085.0474","285.4980"
128,"Brunei",14281000000,11400266878,"32643.8526","437.4790"
194,"British Virgin Islands",0,971237110,"32127.1910","30.2310"
13,"Spain",1497080000000,1237255019654,"32019.8291","46754.7780"
83,"Slovenia",58213000000,44708598649,"28001.3161","2078.9380"
161,"Aruba",2952000000,2667039106,"27649.2516","106.7660"
22,"Taiwan",633695000000,0,"26607.0868","23816.7750"
100,"Estonia",33235000000,23337920560,"25053.9941","1326.5350"
207,"Sint Maarten",0,1072067039,"25003.8959","42.8760"
48,"Portugal",249912000000,204836597909,"24509.0843","10196.7090"
47,"Czech Republic",259736000000,195305084919,"24254.0350","10708.9810"
96,"Bahrain",40707000000,32179073596,"23923.1300","1701.5750"
211,"Turks and Caicos Islands",0,917550492,"23698.9047","38.7170"
19,"Saudi Arabia",790062000000,639617050945,"22693.8854","34813.8710"
192,"Anguilla",0,337520470,"22496.8653","15.0030"
51,"Greece",230500000000,192690813127,"22114.4398","10423.0540"
107,"Cyprus",26348000000,20046234311,"21822.8381","1207.3590"
60,"Slovakia",117399000000,89768598023,"21503.0583","5459.6420"
84,"Lithuania",57602000000,42773029835,"21159.3993","2722.2890"
177,"Saint Kitts and Nevis",1118000000,909854620,"21015.4326","53.1990"
97,"Latvia",38102000000,27572698482,"20200.4243","1886.1980"
200,"French Polynesia",0,5417934152,"19287.2191","280.9080"
198,"Curacao",0,3121449966,"19022.4444","164.0930"
153,"Barbados",5339000000,4552793288,"18578.5124","287.3750"
171,"Antigua and Barbuda",1809000000,1460157909,"18472.5669","97.9290"
55,"Hungary",177734000000,125816640421,"18398.2963","9660.3510"
80,"Uruguay",63421000000,52419718459,"18257.3199","3473.7300"
186,"Palau",324000000,310248000,"17906.4883","18.0940"
172,"Seychelles",1739000000,1433826317,"17682.2882","98.3470"
70,"Panama",75494000000,55187800000,"17496.6574","4314.7670"
21,"Poland",643274000000,471402266588,"16996.8719","37846.6110"
111,"Trinidad and Tobago",23235000000,24086176564,"16602.5003","1399.4880"
196,"Cook Islands",0,290194195,"16522.1017","17.5640"
69,"Oman",84158000000,63170959402,"16480.1573","5106.6260"
43,"Chile",313561000000,247045730477,"16402.8930","19116.2010"
77,"Croatia",64590000000,51231002611,"15733.4468","4105.2670"
46,"Romania","263133000000.0000",186690976699,"13677.9929","19237.6910"
79,"Costa Rica",63460000000,57435510668,"12457.5049","5094.1180"
204,"Montserrat",0,62051375,"12430.1633","4.9920"
35,"Malaysia",401985000000,296531469473,"12419.9781","32365.9990"
125,"Mauritius",15757000000,12216235024,"12389.8384","1271.7680"
176,"Grenada",1330000000,1016208148,"11819.8057","112.5230"
148,"Maldives",6213000000,4224207488,"11493.9764","540.5440"
12,"Russia",1667460000000,1246015056927,"11426.0880","145934.4620"
26,"Argentina","515352999999.9999",545866164479,"11402.6811","45195.7740"
169,"Saint Lucia",2069000000,1397066906,"11267.4062","183.6270"
189,"Nauru",117000000,103469824,"10809.3126","10.8240"
2,"China",15468100000000,11218281029298,"10746.7828","1439323.7760"
73,"Bulgaria",71746000000,53239643485,"10325.4757","6948.4450"
15,"Mexico",1297750000000,1076914464477,"10065.3245","128932.7530"
9,"Brazil",2062500000000,1795925681016,"9703.1693","212559.4170"
18,"Turkey",809555000000,863711710542,"9598.8138","84339.0670"
85,"Turkmenistan",57059000000,36179885714,"9460.6380","6031.2000"
56,"Kazakhstan",177322000000,135005203998,"9443.7219","18776.7070"
150,"Montenegro",5740000000,4373958354,"9139.1669","628.0660"
82,"Lebanon",60620000000,50457653265,"8881.4722","6825.4450"
115,"Botswana",20873000000,15566057294,"8875.9825","2351.6270"
137,"Equatorial Guinea",12263000000,10677940568,"8740.6494","1402.9850"
66,"Dominican Republic",90459000000,71583585170,"8338.8413","10847.9100"
182,"Dominica",590000000,581484032,"8196.0381","71.9860"
180,"Saint Vincent and the Grenadines",903000000,765318745,"8139.5349","110.9400"
119,"Gabon",17893000000,13863183526,"8039.1457","2225.7340"
197,"Cuba",0,89688700000,"7918.4021","11326.6160"
25,"Thailand","547431000000.0001",407026319505,"7842.8535","69799.9780"
50,"Peru",244163000000,192209529586,"7405.1947","32971.8540"
89,"Libya",50424000000,42959534586,"7338.3579","6871.2920"
40,"Colombia",352810000000,282462551367,"6933.7648","50882.8910"
