"name","healthcareRank","pop2020"
"France",1,"65273.5110"
"Italy",2,"60461.8260"
"San Marino",3,"33.9310"
"Andorra",4,"77.2650"
"Malta",5,"441.5430"
"Singapore",6,"5850.3420"
"Spain",7,"46754.7780"
"Oman",8,"5106.6260"
"Austria",9,"9006.3980"
"Japan",10,"126476.4610"
"Norway",11,"5421.2410"
"Portugal",12,"10196.7090"
"Monaco",13,"39.2420"
"Greece",14,"10423.0540"
"Iceland",15,"341.2430"
"Luxembourg",16,"625.9780"
"Netherlands",17,"17134.8720"
"United Kingdom",18,"67886.0110"
"Ireland",19,"4937.7860"
"Switzerland",20,"8654.6220"
"Belgium",21,"11589.6230"
"Colombia",22,"50882.8910"
"Sweden",23,"10099.2650"
"Cyprus",24,"1207.3590"
"Germany",25,"83783.9420"
"Saudi Arabia",26,"34813.8710"
"United Arab Emirates",27,"9890.4020"
"Israel",28,"8655.5350"
"Morocco",29,"36910.5600"
"Canada",30,"37742.1540"
"Finland",31,"5540.7200"
"Australia",32,"25499.8840"
"Chile",33,"19116.2010"
"Denmark",34,"5792.2020"
"Dominica",35,"71.9860"
"Costa Rica",36,"5094.1180"
"United States",37,"331002.6510"
"Slovenia",38,"2078.9380"
"Cuba",39,"11326.6160"
"Brunei",40,"437.4790"
"New Zealand",41,"4822.2330"
"Bahrain",42,"1701.5750"
"Croatia",43,"4105.2670"
"Qatar",44,"2881.0530"
"Kuwait",45,"4270.5710"
"Barbados",46,"287.3750"
"Thailand",47,"69799.9780"
"Czech Republic",48,"10708.9810"
"Malaysia",49,"32365.9990"
"Poland",50,"37846.6110"
"Dominican Republic",51,"10847.9100"
"Tunisia",52,"11818.6190"
"Jamaica",53,"2961.1670"
"Venezuela",54,"28435.9400"
"Albania",55,"2877.7970"
"Seychelles",56,"98.3470"
"Paraguay",57,"7132.5380"
"South Korea",58,"51269.1850"
"Senegal",59,"16743.9270"
"Philippines",60,"109581.0780"
"Mexico",61,"128932.7530"
"Slovakia",62,"5459.6420"
"Egypt",63,"102334.4040"
"Kazakhstan",64,"18776.7070"
"Uruguay",65,"3473.7300"
"Hungary",66,"9660.3510"
"Trinidad and Tobago",67,"1399.4880"
"Saint Lucia",68,"183.6270"
"Belize",69,"397.6280"
"Turkey",70,"84339.0670"
"Nicaragua",71,"6624.5540"
"Belarus",72,"9449.3230"
"Lithuania",73,"2722.2890"
"Saint Vincent and the Grenadines",74,"110.9400"
"Argentina",75,"45195.7740"
"Sri Lanka",76,"21413.2490"
"Estonia",77,"1326.5350"
"Guatemala",78,"17915.5680"
"Ukraine",79,"43733.7620"
"Solomon Islands",80,"686.8840"
"Algeria",81,"43851.0440"
"Palau",82,"18.0940"
"Jordan",83,"10203.1340"
"Mauritius",84,"1271.7680"
"Grenada",85,"112.5230"
"Antigua and Barbuda",86,"97.9290"
"Libya",87,"6871.2920"
"Bangladesh",88,"164689.3830"
"Bosnia and Herzegovina",90,"3280.8190"
"Lebanon",91,"6825.4450"
"Indonesia",92,"273523.6150"
"Iran",93,"83992.9490"
"Bahamas",94,"393.2440"
"Panama",95,"4314.7670"
"Fiji",96,"896.4450"
"Benin",97,"12123.2000"
"Nauru",98,"10.8240"
"Romania",99,"19237.6910"
"Saint Kitts and Nevis",100,"53.1990"
