"name","totalSmokingRate","maleSmokingRate","femaleSmokingRate","pop2020"
"Ethiopia","4.7000","8.9000","0.5000","114963.5880"
"Panama","6.6000","10.6000","2.6000","4314.7670"
"Ghana","6.7500","13.1000","0.4000","31072.9400"
"Barbados",7,"13.1000","0.9000","287.3750"
"Ecuador","8.6500",14,"3.3000","17643.0540"
"Nigeria","9.2500","17.4000","1.1000","206139.5890"
"Benin","9.3500","17.7000",1,"12123.2000"
"Niger","9.4000","18.6000","0.2000","24206.6440"
"Uganda","9.6500","16.4000","2.9000","45741.0070"
"Swaziland","10.6000",19,"2.2000","1160.1640"
"Oman",11,21,1,"5106.6260"
"Colombia","11.1000",16,"6.2000","50882.8910"
"Iran","11.1000","21.5000","0.7000","83992.9490"
"India","11.1500","20.4000","1.9000","1380004.3850"
"Senegal","12.0500","23.4000","0.7000","16743.9270"
"Haiti","12.3000","22.1000","2.5000","11402.5280"
"Uzbekistan","13.1000","24.9000","1.3000","33469.2030"
"Kenya","13.3500","24.6000","2.1000","53771.2960"
"Costa Rica","13.4000","18.5000","8.3000","5094.1180"
"Mexico","13.7000","20.8000","6.6000","128932.7530"
"Dominican Republic","14.1000","18.8000","9.4000","10847.9100"
"Sri Lanka","14.4000","28.4000","0.4000","21413.2490"
"Comoros","14.5500","23.1000",6,"869.6010"
"Australia","14.9000","16.7000","13.1000","25499.8840"
"Canada","14.9500","17.7000","12.2000","37742.1540"
"Liberia",15,"27.6000","2.4000","5057.6810"
"Brazil","15.3000","19.3000","11.3000","212559.4170"
"Saudi Arabia","15.4000","27.9000","2.9000","34813.8710"
"Zambia","15.5500","26.5000","4.6000","18383.9550"
"Tanzania","15.6500","27.5000","3.8000","59734.2180"
"Malawi","15.7000","25.4000",6,"19129.9520"
"Niue","15.8500","20.3000","11.4000","1.6260"
"Iceland","16.0500",17,"15.1000","341.2430"
"Brunei","16.2000","29.3000","3.1000","437.4790"
"Singapore","16.5000",28,5,"5850.3420"
"Zimbabwe","16.6500","31.2000","2.1000","14862.9240"
"Denmark",17,"17.6000","16.4000","5792.2020"
"United States","17.2500","19.5000",15,"331002.6510"
"Honduras","17.7000","33.3000","2.1000","9904.6070"
"Jamaica","17.9000","29.9000","5.9000","2961.1670"
"Paraguay","18.1000","28.3000","7.9000","7132.5380"
"Mozambique","18.6500","31.4000","5.9000","31255.4350"
"South Africa","18.9500","31.4000","6.5000","59308.6900"
"Myanmar",19,"31.6000","6.4000","54409.8000"
"United Kingdom","19.1500","19.9000","18.4000","67886.0110"
"Mali",20,"36.8000","3.2000","20250.8330"
"Slovenia","20.2000","22.3000","18.1000","2078.9380"
"Bangladesh","20.2500","39.8000","0.7000","164689.3830"
"Burkina Faso","20.2500",36,"4.5000","20903.2730"
"Sweden","20.6000","20.4000","20.8000","10099.2650"
"Finland","20.8500","23.2000","18.5000","5540.7200"
"Mauritius","21.7000","40.1000","3.3000","1271.7680"
"Thailand","21.8500","41.4000","2.3000","69799.9780"
"Ireland","22.1500","22.4000","21.9000","4937.7860"
"Japan","22.1500","33.7000","10.6000","126476.4610"
"Malaysia","22.2000",43,"1.4000","32365.9990"
"Norway","22.2500","22.4000","22.1000","5421.2410"
"Cameroon","22.3500","43.8000","0.9000","26545.8630"
"Pakistan","22.4500","41.9000",3,"220892.3400"
"Portugal","22.6000","31.5000","13.7000","10196.7090"
"Uruguay","23.0500","26.7000","19.4000","3473.7300"
"Belgium","23.2500","26.5000",20,"11589.6230"
"Switzerland","23.3000","26.9000","19.7000","8654.6220"
"Morocco","23.4000","45.4000","1.4000","36910.5600"
"Cambodia","23.4500","44.1000","2.8000","16718.9650"
"Azerbaijan","23.4500","46.5000","0.4000","10139.1770"
"Luxembourg","23.6000","25.8000","21.4000","625.9780"
"Bolivia","23.8000","30.5000","17.1000","11673.0210"
"Mauritania","23.8500",44,"3.7000","4649.6580"
"Argentina","23.9500","29.5000","18.4000","45195.7740"
"Italy",24,"28.3000","19.7000","60461.8260"
"Nepal","24.1000","37.1000","11.1000","29136.8080"
"Vietnam","24.2000","47.1000","1.3000","97338.5790"
"China","24.7000","47.6000","1.8000","1439323.7760"
"Malta","24.9500","29.7000","20.2000","441.5430"
"Netherlands","25.0500","26.2000","23.9000","17134.8720"
"Egypt","25.1000","49.9000","0.3000","102334.4040"
"Namibia","25.1500","38.9000","11.4000","2540.9050"
"Fiji","25.5500","38.7000","12.4000","896.4450"
"Moldova","25.5500","45.7000","5.4000","4033.9630"
"Philippines","25.7500",43,"8.5000","109581.0780"
"Seychelles","25.9000",43,"8.8000","98.3470"
"Turkey","25.9500","39.5000","12.4000","84339.0670"
"Mongolia","26.5000","47.7000","5.3000","3278.2900"
"Kazakhstan","26.6000","43.9000","9.3000","18776.7070"
"Armenia","26.9000","52.3000","1.5000","2963.2430"
"South Korea",27,"49.8000","4.2000","51269.1850"
"Kyrgyzstan",27,"50.4000","3.6000","6524.1950"
"France","27.7000","29.8000","25.6000","65273.5110"
"Lesotho","27.7500","55.1000","0.4000","2142.2490"
"Poland","28.0500","32.4000","23.7000","37846.6110"
"Bahrain","28.2000","48.8000","7.6000","1701.5750"
"Hungary","28.4000",32,"24.8000","9660.3510"
"Belarus","28.4000","46.2000","10.6000","9449.3230"
"Slovakia","28.6500","39.7000","17.6000","5459.6420"
"Spain","29.2000","31.3000","27.1000","46754.7780"
"Albania","29.4000","51.2000","7.6000","2877.7970"
"Romania","29.8000","36.9000","22.7000","19237.6910"
"Samoa","29.9500",41,"18.9000","198.4140"
"Lithuania","30.1500","38.1000","22.2000","2722.2890"
"Tonga","30.1500","47.3000",13,"105.6950"
"Israel","30.2500","41.2000","19.3000","8655.5350"
"Germany","30.3500","32.4000","28.3000","83783.9420"
"Ukraine","31.7000","49.4000",14,"43733.7620"
"Georgia","31.7000","57.7000","5.7000","3989.1670"
"Andorra","32.5000","37.2000","27.8000","77.2650"
"Laos","32.8500","56.6000","9.1000","7275.5600"
"Estonia","33.0500","41.2000","24.9000","1326.5350"
"Austria","35.1500","35.5000","34.8000","9006.3980"
"Cuba","35.2500","52.7000","17.8000","11326.6160"
"Bulgaria","35.3000","42.4000","28.2000","6948.4450"
"Sierra Leone",36,60,12,"7976.9830"
"Croatia","36.4500","39.4000","33.5000","4105.2670"
"Latvia","36.6000","48.9000","24.3000","1886.1980"
"Chile",38,40,36,"19116.2010"
"Lebanon","38.2000","45.4000",31,"6825.4450"
"Bosnia and Herzegovina","38.6000","47.2000",30,"3280.8190"
"Indonesia","39.9000","76.2000","3.6000","273523.6150"
"Jordan","40.4500","70.2000","10.7000","10203.1340"
"Russia","40.9000",59,"22.8000","145934.4620"
"Serbia","41.6500","43.6000","39.7000","8737.3710"
"Greece","42.6500","52.6000","32.7000","10423.0540"
"Nauru","47.5000",43,52,"10.8240"
"Kiribati","52.4000","63.9000","40.9000","119.4490"
