smoking_rate_id,country,male,female,total
1,Ethiopia,8.9000,0.5000,4.7000
2,Panama,10.6000,2.6000,6.6000
3,Ghana,13.1000,0.4000,6.7500
4,Barbados,13.1000,0.9000,7
5,Ecuador,14,3.3000,8.6500
6,Nigeria,17.4000,1.1000,9.2500
7,Benin,17.7000,1,9.3500
8,Niger,18.6000,0.2000,9.4000
9,Uganda,16.4000,2.9000,9.6500
10,Swaziland,19,2.2000,10.6000
11,Oman,21,1,11
12,Colombia,16,6.2000,11.1000
13,Iran,21.5000,0.7000,11.1000
14,India,20.4000,1.9000,11.1500
15,Senegal,23.4000,0.7000,12.0500
16,Haiti,22.1000,2.5000,12.3000
17,Uzbekistan,24.9000,1.3000,13.1000
18,Kenya,24.6000,2.1000,13.3500
19,Costa Rica,18.5000,8.3000,13.4000
20,Mexico,20.8000,6.6000,13.7000
21,Dominican Republic,18.8000,9.4000,14.1000
22,Sri Lanka,28.4000,0.4000,14.4000
23,Comoros,23.1000,6,14.5500
24,Australia,16.7000,13.1000,14.9000
25,Canada,17.7000,12.2000,14.9500
26,Liberia,27.6000,2.4000,15
27,Brazil,19.3000,11.3000,15.3000
28,Saudi Arabia,27.9000,2.9000,15.4000
29,Zambia,26.5000,4.6000,15.5500
30,Tanzania,27.5000,3.8000,15.6500
31,Malawi,25.4000,6,15.7000
32,Niue,20.3000,11.4000,15.8500
33,Iceland,17,15.1000,16.0500
34,Brunei,29.3000,3.1000,16.2000
35,Singapore,28,5,16.5000
36,Zimbabwe,31.2000,2.1000,16.6500
37,Denmark,17.6000,16.4000,17
38,United States,19.5000,15,17.2500
39,Honduras,33.3000,2.1000,17.7000
40,Jamaica,29.9000,5.9000,17.9000
41,Paraguay,28.3000,7.9000,18.1000
42,Mozambique,31.4000,5.9000,18.6500
43,South Africa,31.4000,6.5000,18.9500
44,Myanmar,31.6000,6.4000,19
45,United Kingdom,19.9000,18.4000,19.1500
46,Mali,36.8000,3.2000,20
47,Slovenia,22.3000,18.1000,20.2000
48,Bangladesh,39.8000,0.7000,20.2500
49,Burkina Faso,36,4.5000,20.2500
50,Sweden,20.4000,20.8000,20.6000
51,Finland,23.2000,18.5000,20.8500
52,Mauritius,40.1000,3.3000,21.7000
53,Thailand,41.4000,2.3000,21.8500
54,Ireland,22.4000,21.9000,22.1500
55,Japan,33.7000,10.6000,22.1500
56,Malaysia,43,1.4000,22.2000
57,Norway,22.4000,22.1000,22.2500
58,Cameroon,43.8000,0.9000,22.3500
59,Pakistan,41.9000,3,22.4500
60,Portugal,31.5000,13.7000,22.6000
61,Uruguay,26.7000,19.4000,23.0500
62,Belgium,26.5000,20,23.2500
63,Switzerland,26.9000,19.7000,23.3000
64,Morocco,45.4000,1.4000,23.4000
65,Cambodia,44.1000,2.8000,23.4500
66,Azerbaijan,46.5000,0.4000,23.4500
67,Luxembourg,25.8000,21.4000,23.6000
68,Bolivia,30.5000,17.1000,23.8000
69,Mauritania,44,3.7000,23.8500
70,Argentina,29.5000,18.4000,23.9500
71,Italy,28.3000,19.7000,24
72,Nepal,37.1000,11.1000,24.1000
73,Vietnam,47.1000,1.3000,24.2000
74,China,47.6000,1.8000,24.7000
75,Malta,29.7000,20.2000,24.9500
76,Netherlands,26.2000,23.9000,25.0500
77,Egypt,49.9000,0.3000,25.1000
78,Namibia,38.9000,11.4000,25.1500
79,Fiji,38.7000,12.4000,25.5500
80,Moldova,45.7000,5.4000,25.5500
81,Philippines,43,8.5000,25.7500
82,Seychelles,43,8.8000,25.9000
83,Turkey,39.5000,12.4000,25.9500
84,Mongolia,47.7000,5.3000,26.5000
85,Kazakhstan,43.9000,9.3000,26.6000
86,Armenia,52.3000,1.5000,26.9000
87,South Korea,49.8000,4.2000,27
88,Kyrgyzstan,50.4000,3.6000,27
89,France,29.8000,25.6000,27.7000
90,Lesotho,55.1000,0.4000,27.7500
91,Poland,32.4000,23.7000,28.0500
92,Bahrain,48.8000,7.6000,28.2000
93,Hungary,32,24.8000,28.4000
94,Belarus,46.2000,10.6000,28.4000
95,Slovakia,39.7000,17.6000,28.6500
96,Spain,31.3000,27.1000,29.2000
97,Albania,51.2000,7.6000,29.4000
98,Romania,36.9000,22.7000,29.8000
99,Samoa,41,18.9000,29.9500
100,Lithuania,38.1000,22.2000,30.1500
101,Tonga,47.3000,13,30.1500
102,Israel,41.2000,19.3000,30.2500
103,Germany,32.4000,28.3000,30.3500
104,Ukraine,49.4000,14,31.7000
105,Georgia,57.7000,5.7000,31.7000
106,Andorra,37.2000,27.8000,32.5000
107,Laos,56.6000,9.1000,32.8500
108,Estonia,41.2000,24.9000,33.0500
109,Austria,35.5000,34.8000,35.1500
110,Cuba,52.7000,17.8000,35.2500
111,Bulgaria,42.4000,28.2000,35.3000
112,Sierra Leone,60,12,36
113,Croatia,39.4000,33.5000,36.4500
114,Latvia,48.9000,24.3000,36.6000
115,Chile,40,36,38
116,Lebanon,45.4000,31,38.2000
117,Bosnia and Herzegovina,47.2000,30,38.6000
118,Indonesia,76.2000,3.6000,39.9000
119,Jordan,70.2000,10.7000,40.4500
120,Russia,59,22.8000,40.9000
121,Serbia,43.6000,39.7000,41.6500
122,Greece,52.6000,32.7000,42.6500
123,Nauru,43,52,47.5000
124,Kiribati,63.9000,40.9000,52.4000
